,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
353,5,Pat,Connaughton,SG,23,5-Jun,206,Notre Dame,"$625,093 ",POR
354,23,Allen,Crabbe,SG,23,6-Jun,210,California,"$947,276 ",POR
355,17,Ed,Davis,C,26,10-Jun,240,North Carolina,"$6,980,802 ",POR
356,4,Maurice,Harkless,SF,22,9-Jun,215,St. John's,"$2,894,059 ",POR
357,9,Gerald,Henderson,SG,28,5-Jun,215,Duke,"$6,000,000 ",POR
358,35,Chris,Kaman,C,33,Jul-00,265,Central Michigan,"$5,016,000 ",POR
359,11,Meyers,Leonard,PF,24,1-Jul,245,Illinois,"$3,075,880 ",POR
360,0,Damian,Lillard,PG,25,3-Jun,195,Weber State,"$4,236,287 ",POR
361,3,C.J.,McCollum,SG,24,4-Jun,200,Lehigh,"$2,525,160 ",POR
362,44,Luis,Montero,SG,22,7-Jun,185,Westchester CC,"$525,093 ",POR
363,24,Mason,Plumlee,C,25,11-Jun,235,Duke,"$1,415,520 ",POR
364,2,Brian,Roberts,PG,30,1-Jun,173,Dayton,"$2,854,940 ",POR
365,21,Noah,Vonleh,PF,20,9-Jun,240,Indiana,"$2,637,720 ",POR
366,13,Quincy,Acy,SF,25,7-Jun,240,Baylor,"$981,348 ",SAC
367,5,James,Anderson,SG,26,6-Jun,213,Oklahoma State,"$1,015,421 ",SAC
368,3,Marco,Belinelli,SG,29,5-Jun,210, ,"$6,060,606 ",SAC
369,31,Caron,Butler,SF,35,7-Jun,228,Connecticut,"$1,449,187 ",SAC
370,18,Omri,Casspi,SF,27,9-Jun,225, ,"$2,836,186 ",SAC
371,0,Willie,Cauley-Stein,C,22,Jul-00,240,Kentucky,"$3,398,280 ",SAC
372,7,Darren,Collison,PG,28,Jun-00,175,UCLA,"$5,013,559 ",SAC
373,15,DeMarcus,Cousins,C,25,11-Jun,270,Kentucky,"$15,851,950 ",SAC
374,30,Seth,Curry,SG,25,2-Jun,185,Duke,"$947,276 ",SAC
375,26,Duje,Dukan,PF,24,9-Jun,220,Wisconsin,"$525,093 ",SAC
376,8,Rudy,Gay,SF,29,8-Jun,230,Connecticut,"$12,403,101 ",SAC
377,41,Kosta,Koufos,C,27,Jul-00,265,Ohio State,"$7,700,000 ",SAC
378,23,Ben,McLemore,SG,23,5-Jun,195,Kansas,"$3,156,600 ",SAC
